Column,Correlation,P-value
modal_verbs,0.09070332579622928,3.3898575306050295e-06
concreteness,0.15301887065127665,3.615961720707007e-15
flesch_reading_ease,-0.0025816447824788813,0.8950200024675209
ari,0.007394505725569176,0.7054619901247936
clause_density,0.12999865165297886,2.5078803123568214e-11
t_unit_complexity,0.14130827456143602,3.8970822907815264e-13
present_indicative_verbs,0.13196209807384207,1.2477336654038728e-11
self_referential_sent,0.13228178191750697,1.1125766330089173e-11
Segment,,
WC,0.1515701442952579,6.584925332856235e-15
Analytic,-0.01844436314220251,0.34577300916099296
Clout,0.014076500407420632,0.47181905663000834
Authentic,-0.0007438526724476811,0.9696715244563597
Tone,0.004223807256286259,0.8290728503561345
WPS,0.029203674506076076,0.13543855606687025
BigWords,-0.0022275682164084477,0.9093511594142559
Dic,0.030904494180596043,0.11410982559134138
Linguistic,0.008693344238420572,0.6567909976746733
function,0.0010031375154314604,0.9591079820735475
pronoun,0.0248466392922371,0.2040230338869537
ppron,0.028316819366918385,0.14771856022589716
i,0.08427309877671156,1.5953315672731927e-05
we,0.0309617526551784,0.11344065435048152
you,-0.02096493261330375,0.283859097074795
shehe,0.11515649566512948,3.513531537844005e-09
they,-0.004307079954140171,0.8257565415778427
ipron,0.01609105759271597,0.4107870509865198
det,0.033597246628291874,0.08584619436485978
article,-0.012549827846082977,0.5212109638612409
number,0.021166269194791813,0.279259324298746
prep,-0.003790388605461806,0.8463815111822498
auxverb,-0.007774649091587996,0.6910808474362579
adverb,0.01754973181025441,0.36967522867267644
conj,-0.007263314535960587,0.7104498893903057
negate,0.02697811603525067,0.1678413483581653
verb,-0.005639261476894666,0.773163240434676
adj,0.01710674972908582,0.3818815124265913
quantity,0.017848698143707473,0.36157585985508633
Drives,0.0742789848777198,0.00014362182054492465
affiliation,0.0785071975029573,5.846736793279883e-05
achieve,0.005534856374983099,0.7772510536627406
power,0.08059176699701671,3.691770212110376e-05
Cognition,-0.0040810902590133705,0.8347635638192382
allnone,0.04706797990161153,0.01607968240085301
cogproc,-0.011067064804543439,0.5716086044370341
insight,-0.005275968715149803,0.7874137828050428
cause,0.02087613696431081,0.2859039399207694
discrep,0.009144680148749421,0.6402005999742476
tentat,-0.030187698819179227,0.12275215259343521
certitude,0.07721954332586,7.724321357927016e-05
differ,0.0032993179580230888,0.8660819804588478
memory,0.0034535030221882583,0.8598869159085755
Affect,-0.012219414076583612,0.5322404471765483
tone_pos,0.013722083021113617,0.4830505193198158
tone_neg,0.014243353627870978,0.4665817137794319
emotion,-0.017844015534879295,0.36170185424440904
emo_pos,0.07123962399101486,0.00026648172047202996
emo_neg,-0.004796143834733171,0.806344243628603
emo_anx,0.016799489047539227,0.3904914180868556
emo_anger,0.08583966112568533,1.1046464493318599e-05
emo_sad,-0.014872480956665872,0.447126960089957
swear,0.04140860333613797,0.034225031710181014
Social,0.04706014386037847,0.0160973556157161
socbehav,0.032888603027357355,0.09267019081988685
prosocial,0.029310201518510177,0.13401815448362078
polite,0.0924833251662673,2.1666944795640442e-06
conflict,0.12655143838301647,8.330859113330208e-11
moral,0.07387612846239014,0.00015609298460905093
comm,-0.0013845230903838691,0.9435834840896755
socrefs,0.04260603278143839,0.029354310926895798
family,0.08476224977189194,1.4233160768586768e-05
friend,0.0637703764024366,0.0011032033604303213
female,0.07786645472173614,6.719325664011811e-05
male,0.11447406360283549,4.34808143860474e-09
Culture,-0.018419773885362,0.3464165222067117
politic,-0.003969011024295496,0.839238709794321
ethnicity,0.010961017771575498,0.5752999389470834
tech,-0.011462833480052177,0.5579328289658902
Lifestyle,-0.021595588149492757,0.26962096653038103
leisure,0.026658187116322975,0.17294176758701155
home,-0.035742995344294655,0.0676243099668013
work,-0.02412173629485451,0.21753674911641205
money,0.03141895947602922,0.1082075893107101
relig,0.036655266803312776,0.06090609173132523
Physical,-0.06583810454587008,0.0007549248988009282
health,-0.08331605022538076,1.9908007970574626e-05
illness,0.011047587695378445,0.5722857281190992
wellness,0.00042430298543871337,0.9826974433801163
mental,-0.019893888188691516,0.3091870146367957
substances,0.01854343606950561,0.3431879411960985
sexual,0.07497850290316305,0.0001241664919049211
food,0.020287181343399976,0.29971827127251455
death,0.031864838998902675,0.10328992134527994
need,0.07464879170006126,0.00013300487656991335
want,0.11443977110697792,4.394752048015566e-09
acquire,0.032089259542570706,0.10088283354193679
lack,0.02091199367965863,0.28507701417465375
fulfill,0.036877045752145336,0.05935915634719982
fatigue,-0.035514875848899646,0.06939626878924053
reward,0.011146227232121633,0.5688604408879205
risk,0.0709908301453485,0.0002800236674719298
curiosity,-0.001968870005138108,0.9198408433961147
allure,-0.011163430629544283,0.5682640518350722
Perception,0.037431639022814094,0.055632948848601045
attention,0.03204493524585415,0.10135467298344666
motion,0.045284206361638116,0.02057014961361818
space,0.05388313859314861,0.0058493191058150195
visual,0.03349984301496822,0.0867593728213679
auditory,0.062329496579486214,0.0014280303038639115
feeling,-0.013115915523161666,0.502591581876006
time,0.004643590764753511,0.8123873116679742
focuspast,0.03797644283197397,0.05216422750587845
focuspresent,-0.007638573264114113,0.6962162438468926
focusfuture,0.07994524100243929,4.2626385243405205e-05
Conversation,0.02004950732072164,0.3054170353229808
netspeak,0.031067851300004893,0.112208865194159
assent,0.008977466919581734,0.6463267243906387
nonflu,0.011124034575541519,0.5696302334265602
filler,0.014961230747182447,0.4444201170490424
AllPunc,0.06939839355362006,0.0003831642948019798
Period,0.040204254423405895,0.039804114700502116
Comma,0.03130407026770988,0.10950426779776584
QMark,0.033808695718269395,0.08389052782781144
Exclam,-0.021284341680784483,0.27658551061301384
Apostro,0.07575672680561975,0.00010544949637526056
OtherP,0.0669173333332592,0.0006167058655833961
Emoji,0.028216873860032125,0.1491541569188927
